Premise 1,Premise 2,Syllogistic relation,Conclusion,index
Omega3 reduces blood pressure levels in people with high blood pressure.,Omega3 can improve risk factors for Heart Disease.,yes,Reduction in blood pressure levels in people with high blood pressure can improve risk factors for Heart Disease.,3094
People spend too much money buying products that are not necessary in their life.,Advertising cause people buy products that are not necessary in their life.,yes,Advertising cause people spend too much money.,3095
Most Startups struggle with rapid development,Rapid development brings about too much stretching and straining,yes,Most Startups struggle with too much stretching and straining,3097
"In a fascist regime a strong, authoritarian leader gains power and then uses the police force and army to maintain law and order.","In Germany under Hitler a strong, authoritarian leader gains power and then uses the police force and army to maintain law and order.",yes,In Germany under Hitler was a fascist regime.,3098
you don't have access to new revenue streams in a saturated market,a saturated market produces no new demand,yes,you don't have access to new revenue streams in a saturated market,3099
Tsunamis happen when the earthquake displaces a large amount of water in the ocean.,"When the earthquake displaces a large amount of water in the ocean, waves rush inland quickly and powerfully, causing death and destruction.",yes,"Tsunamis happen when waves rush inland quickly and powerfully, causing death and destruction.",3100
healthy food is made using fresh vegetables,organically grown vegetables do not contain any chemical additives,yes,healthy food does not contain any chemical additives,3101
The ideal environment for mold spores to thrive is likely to lead to mold spores,Unattended water damage creates an ideal environment for mold spores to thrive,yes,Unattended water damage is likely to lead to mold,3102
The Russians brutally crushed the Polish protestors.,Incarceration of Polish protestors opened a path for Germany to have full control on Poland.,yes,The Russians opened a path for Germany to have full control on Poland.,3103
Floods can bring the steel structure to a collapse.,Fire can deteriorate the strength of steel columns by 90%.,yes,Fire can bring the steel structure to a collapse.,3105
Watermelon is a great source of water,Food containing large amounts of water makes you feel full,yes,Watermelon helps you feel full,3107
Betty Friedan is one of the most influential nonfiction books of the twentieth century.,Betty Friedan who is often called the mother of the modern women's liberation movement has a famous book.,yes,Who is often called the mother of the modern women's liberation movement's book is one of the most influential nonfiction books of the twentieth century.,3108
High levels of omega-3s are linked to decreased risk of heart disease,The Mediterranean diet is high in heart-healthy omega-3s,yes,The Mediterranean diet is linked to decreased risk of heart disease,3110
long-term high blood sugar levels can lead to injuries in nerves. ,injury in nerves can contribute to numbness. ,yes,long-term high blood sugar levels can contribute to numbness,3111
our baby doesn't like the food we feed him,our baby makes a horrible face when we feed him,yes,our baby doesn't like the food,3112
