Premise 1,Premise 2,Syllogistic relation,Conclusion,index
 You should study all the time if you want to remain in this university.,being stressed out all the time causes many mental and physical struggles.,no,No conclusion,2553
"Heat exhaustion make person feel weak and extremely tired. He or she may have trouble walking normally, it may also produce a feeling of sickness, a fast heartbeat, breathing problems and pain in the head, chest or stomach.",Untreated heat stress can lead to a more serious problem called heat exhaustion.,yes,"Untreated heat stress can lead to a more serious problem that make person feel weak and extremely tired. He or she may have trouble walking normally, it may also produce a feeling of sickness, a fast heartbeat, breathing problems and pain in the head, chest or stomach.",2554
"When you sleep late, your skin actually secretes more sebum, and this probably explains why it results in new acne.",Sleep Deprivation Causes Acne.,yes,"when your skin secretes more sebum, it probably will result in Acne. ",2555
Cheap workforce has put china to a dramatic economic growth.,Going by train is more economical and cheaper than going by plane especially in China.,no,No conclusion,2556
Fresh food such as berries are a great source of vitamins and anti-oxidants.,Green leafy vegetables – such as spinach are a great source of magnesium.,no,No conclusion,2557
there was a pine tree in the house with lights and ornaments on it,christmas tree is a pine designed with lights and ornaments,yes,there was a christmas tree in the house,2558
"drones can be hacked in flight, causing them to crash",Drones also open up an array of new avenues for hackers,yes,Drones also open up an array of new avenues causing them to crash,2559
The main cuisines of Rasht have delight sour taste.,I love the sour taste of limes.,no,No conclusion,2560
Having Offended customers are likely to have a negative impact on your benefit percentage,poorly prepared food turns off customers,yes,Poorly prepared food is likely to have a negative impact on your benefit percentage,2561
Carbon dioxide production increases can contribute to global warming.,"Excess wage increases can contribute to a rise in inflation or a slowdown in employment growth, or both. ",no,No conclusion,2562
Circulation of hot and cold air in the closed space rises the temperature.,Electronic heaters develop convection in the room.,yes,Electronic heaters rises the temperature.,2563
This drug and this vitamin prevents the virus from replicating itself.,Vitamin B prevents pellagra.,no,No conclusion,2564
Malfunction of brain overproduces Dopamine.,Exceedance of Dopamine damages the general health condition.,yes,Malfunction of brain damages the general health condition.,2565
It's a test that how the Hepatitis' virus works in the liver cells.,Hepatitis destroys liver cells.,no,No conclusion,2566
Large reservoirs formed behind dams have been found responsible for the changes in water load,"alterations in pressure per square inch of water,have been indicated in the contribution of seismic activity",yes,Large reservoirs formed behind dams have been in the contribution of seismic activity,2567
Physical disability is a constant threat for older adults,"Long-term physical inactivity may eventually worsen general health, which can lead to physical disability",yes,long term physical inactivity is a threat for older adults,2568
Infected blood can hurt the heart significantly and lead to sudden death,Fungal nail disease can spread the virus to the bloodstream.,yes,fungal nail infection can hurt the heart  and lead to sudden death.,2569
