Premise 1,Premise 2,Syllogistic relation,Conclusion,index
people who have anxiety may have chest pain in the future,there is an increase in anxiety among those female workers working more than 55 hours per week,yes,those female workers who work more than 55 hours per week may have chest pain in the future,1129
Working long efficient hours turned the country to a major world power.,Diligence of Japanese people makes them work long efficient hours.,yes,Diligence of Japanese people turned the country to a major world power.,1133
Active solar devices such as photovoltaic solar panels are capable of producing durable electrical output,"the durable electrical output of a solar panel is dependent on orientation, efficiency, latitude, and climate",yes,"Active solar devices such as photovoltaic solar panels are dependent on orientation, efficiency, latitude, and climate",1135
elementary school teachers usually have to deal with young children,dealing with young children requires a lot of patience,yes,elementary school teachers usually have to be patient,1140
the new decision affects trade restrictions,trade restrictions affect the economy negatively,yes,the new decision affects the economy negatively,1155
"Causes of kidney disease reduces kindney's ability to filter out unwanted and toxic waste products, which then start to build up in the body.",The extra fluid and extra strain on the delicate blood vessels leading to the kidneys cause kidney disease.,yes,"The extra fluid and extra strain on the delicate blood vessels leading to reduces kindney's ability to filter out unwanted and toxic waste products, which then start to build up in the body.",1159
 assertive people know that asking other people for help won’t make them seem weak or unintelligent.,Extraverts are most likely people to be assertive.,yes,Extravertive people are know that asking other people for help won’t make them seem weak or unintelligent.,1161
"when male staff employees view women as less capable or less able to perform work tasks, gender discrimination increases.",gender discrimination lead to conflict and tension among team members.,yes,"when male staff employees view women as less capable or less able to perform work tasks, conflict and tension among team members increases",1173
An important feature of the parliamentary democracy is having a faithful opposition,"The essence of the concept of having a faithful opposition is that the second largest political party opposes the governing party , while still remaining loyal to the state and its democratic principles",yes,"An important feature of the parliamentary democracy is that the second largest political party opposes the governing party , while still remaining loyal to the state and its democratic principles",1175
The construction of subway link between San’at square and Mahdiye smoothed the traffic in western junctions of the city.,New minister of road and transportation set up a subway link between San’at square and Mahdiye.,yes,New minister of road and transportation smoothed the traffic in western junctions of the city.,1177
Scientists tweak the nerve cells in the brain to have a light sensitive protein.,Neurons are nerve cells in the brain.,yes,Scientists tweak the nerve cells in the brain to have a light sensitive protein.,1178
Dealing with depression starts with better insight into how you view and understand yourself,Relationships and  Meaningful Conversations give you better insight into how you view and understand yourself,yes,Dealing with depression starts with Relationships and  Meaningful Conversations,1183
